,Location,Price,Mileage,Published_Year,Model,Brand,Year
1,Anuradapura,3.35,1,2024,Hero,Pleasure,2017
2,Anuradapura,2.75,1,2024,Hero,Pleasure,2015
5,Nittambuwa,2.9,37856,2024,Hero,Pleasure,2015
9,Matugama,2.35,45869,2024,Hero,Pleasure,2013
10,Colombo,3.25,26000,2024,Hero,Pleasure,2015
11,Katunayake,2.6,44822,2024,Hero,Pleasure,2012
12,Kuliyapitiya,1.85,64302,2024,Hero,Pleasure,2010
16,Ja-Ela,4.15,41000,2024,Hero,Pleasure,2019
17,Piliyandala,3.45,22000,2024,Hero,Pleasure,2017
18,Piliyandala,1.98,39998,2024,Hero,Pleasure,2011
19,Ja-Ela,2.17,36744,2024,Hero,Pleasure,2012
21,Negombo,2.1,28000,2024,Hero,Pleasure,2012
22,Kottawa,2.47,45000,2024,Hero,Pleasure,2012
23,Galle,2.99,18900,2024,Hero,Pleasure,2016
24,Divulapitiya,2.9,26732,2024,Hero,Pleasure,2014
25,Malabe,3.25,31500,2024,Hero,Pleasure,2015
26,Kuliyapitiya,2.75,33000,2024,Hero,Pleasure,2014
27,Homagama,2.88,26800,2024,Hero,Pleasure,2014
28,Tangalle,3.5,25850,2024,Hero,Pleasure,2017
31,Homagama,3.38,31800,2024,Hero,Pleasure,2018
32,Pannipitiya,3.0,30000,2024,Hero,Pleasure,2016
33,Galle,2.85,54288,2024,Hero,Pleasure,2014
34,Kurunegala,2.15,52185,2024,Hero,Pleasure,2011
35,Negombo,2.45,47000,2024,Hero,Pleasure,2012
36,Colombo,1.8,50000,2024,Hero,Pleasure,2010
41,Tangalle,4.25,20063,2024,Hero,Pleasure,2019
44,Gampaha,3.1,57383,2024,Hero,Pleasure,2015
46,Mawanella,3.1,25,2024,Hero,Pleasure,2015
48,Kurunegala,2.12,36895,2024,Hero,Pleasure,2011
49,Homagama,3.35,32800,2024,Hero,Pleasure,2018
50,Kuliyapitiya,2.95,25000,2024,Hero,Pleasure,2016
51,Kurunegala,2.2,50000,2024,Hero,Pleasure,2012
54,Homagama,2.9,26800,2024,Hero,Pleasure,2015
55,Matara,2.25,48000,2024,Hero,Pleasure,2012
57,Galle,3.75,28650,2024,Hero,Pleasure,2018
60,Kurunegala,2.28,35000,2024,Hero,Pleasure,2012
61,Polonnaruwa,2.9,41141,2024,Hero,Pleasure,2014
62,Kuliyapitiya,2.1,50000,2024,Hero,Pleasure,2009
63,Horana,2.2,25000,2024,Hero,Pleasure,2012
64,Polonnaruwa,1.65,41000,2024,Hero,Pleasure,2008
67,Galle,2.79,19000,2024,Hero,Pleasure,2014
68,Negombo,1.5,25000,2024,Hero,Pleasure,2008
69,Matara,3.1,31206,2024,Hero,Pleasure,2015
71,Kurunegala,2.1,68535,2024,Hero,Pleasure,2011
72,Galle,2.3,61000,2024,Hero,Pleasure,2011
73,Colombo,2.47,47050,2024,Hero,Pleasure,2012
74,Kolonnawa,2.95,35000,2024,Hero,Pleasure,2015
76,Matale,3.5,6000,2024,Hero,Pleasure,2017
77,Nittambuwa,2.0,45000,2024,Hero,Pleasure,2011
78,Matara,2.3,44222,2024,Hero,Pleasure,2012
79,Kurunegala,2.15,52600,2024,Hero,Pleasure,2011
80,Polonnaruwa,4.05,12937,2024,Hero,Pleasure,2019
81,Kuliyapitiya,2.8,42000,2024,Hero,Pleasure,2014
82,Polonnaruwa,2.7,29000,2024,Hero,Pleasure,2014
84,Moneragala,3.95,38000,2024,Hero,Pleasure,2019
85,Kurunegala,2.1,68000,2024,Hero,Pleasure,2010
87,Kurunegala,2.75,25000,2024,Hero,Pleasure,2014
89,Gampaha,3.6,45500,2024,Hero,Pleasure,2018
91,Kandy,2.98,27500,2024,Hero,Pleasure,2014
93,Kurunegala,2.75,40000,2024,Hero,Pleasure,2014
95,Gampaha,2.83,50800,2024,Hero,Pleasure,2014
96,Anuradapura,2.6,1,2024,Hero,Pleasure,2015
98,Hambantota,2.8,28000,2024,Hero,Pleasure,2015
100,Polonnaruwa,3.85,26000,2024,Hero,Pleasure,2018
101,Homagama,4.0,12000,2024,Hero,Pleasure,2018
102,Matugama,2.69,57000,2024,Hero,Pleasure,2015
103,Gampaha,2.83,50200,2024,Hero,Pleasure,2014
104,Matale,2.8,9700,2024,Hero,Pleasure,2014
106,Kandy,2.15,85000,2024,Hero,Pleasure,2011
107,Gampaha,2.28,15238,2024,Hero,Pleasure,2012
108,Kandy,2.55,58000,2024,Hero,Pleasure,2014
109,Colombo,1.89,50000,2024,Hero,Pleasure,2008
112,Gampaha,2.78,31000,2024,Hero,Pleasure,2015
118,Kandy,3.25,40000,2024,Hero,Pleasure,2015
120,Kurunegala,2.48,35475,2024,Hero,Pleasure,2010
121,Ratnapura,3.5,51638,2024,Hero,Pleasure,2017
122,Ragama,2.35,37000,2024,Hero,Pleasure,2011
123,Matara,2.3,42000,2024,Hero,Pleasure,2012
124,Kandy,2.98,39700,2024,Hero,Pleasure,2014
125,Anuradapura,2.45,54000,2024,Hero,Pleasure,2012
126,Homagama,2.88,23800,2024,Hero,Pleasure,2015
130,Nawalapitiya,3.2,24600,2024,Hero,Pleasure,2015
131,Wennappuwa,2.35,25000,2024,Hero,Pleasure,2011
132,Ratnapura,3.1,14000,2024,Hero,Pleasure,2015
133,Pannala,1.95,59999,2024,Hero,Pleasure,2010
134,Gampaha,3.15,65500,2024,Hero,Pleasure,2015
135,Kegalle,3.6,45300,2024,Hero,Pleasure,2016
139,Nittambuwa,2.45,12,2024,Hero,Pleasure,2013
141,Matugama,2.7,47836,2024,Hero,Pleasure,2014
143,Matara,1.75,16500,2024,Hero,Pleasure,2011
144,Panadura,2.3,45000,2024,Hero,Pleasure,2013
145,Minuwangoda,2.08,36987,2024,Hero,Pleasure,2011
146,Kandy,2.5,46000,2024,Hero,Pleasure,2012
147,Kegalle,2.85,65000,2024,Hero,Pleasure,2015
149,Matara,2.9,28888,2024,Hero,Pleasure,2015
151,Kandy,3.8,12500,2024,Hero,Pleasure,2019
155,Bandarawela,3.5,11000,2024,Hero,Pleasure,2015
156,Anuradapura,3.3,1,2024,Hero,Pleasure,2015
158,Kandy,2.35,26950,2024,Hero,Pleasure,2010
159,Piliyandala,3.65,1500,2024,Hero,Pleasure,2016
162,Kandy,2.2,75000,2024,Hero,Pleasure,2010
164,Kurunegala,2.45,70000,2024,Hero,Pleasure,2012
166,Minuwangoda,2.7,62000,2024,Hero,Pleasure,2013
167,Kandy,3.95,12500,2024,Hero,Pleasure,2019
168,Katunayake,2.05,27965,2024,Hero,Pleasure,2011
169,Kalutara,2.78,44500,2024,Hero,Pleasure,2015
171,Galle,1.5,22500,2024,Hero,Pleasure,2008
173,Matale,2.1,50000,2024,Hero,Pleasure,2012
174,Katunayake,2.45,33885,2024,Hero,Pleasure,2011
175,Gampaha,3.9,26788,2024,Hero,Pleasure,2017
177,Kuliyapitiya,2.48,56000,2024,Hero,Pleasure,2013
178,Nawalapitiya,3.2,26580,2024,Hero,Pleasure,2015
179,Kegalle,2.85,53000,2024,Hero,Pleasure,2014
181,Wennappuwa,2.2,38000,2024,Hero,Pleasure,2012
182,Anuradapura,3.68,33000,2024,Hero,Pleasure,2017
185,Kurunegala,2.85,14140,2024,Hero,Pleasure,2015
186,Matale,3.2,72000,2024,Hero,Pleasure,2016
187,Colombo,2.18,36000,2024,Hero,Pleasure,2011
189,Gampaha,3.3,30000,2024,Hero,Pleasure,2015
191,Gampaha,1.85,39000,2024,Hero,Pleasure,2010
192,Anuradapura,2.9,40000,2024,Hero,Pleasure,2015
193,Kuliyapitiya,2.7,25000,2024,Hero,Pleasure,2012
195,Nawalapitiya,3.2,24600,2024,Hero,Pleasure,2015
196,Kandy,3.0,65000,2024,Hero,Pleasure,2014
201,Malabe,2.25,51000,2024,Hero,Pleasure,2011
202,Galle,2.3,33000,2024,Hero,Pleasure,2012
203,Malabe,3.25,33456,2024,Hero,Pleasure,2016
204,Gampaha,4.2,11000,2024,Hero,Pleasure,2018
205,Embilipitiya,3.0,29999,2024,Hero,Pleasure,2015
206,Eheliyagoda,3.05,14000,2024,Hero,Pleasure,2015
207,Gampaha,4.2,11029,2024,Hero,Pleasure,2018
209,Kurunegala,4.0,25900,2024,Hero,Pleasure,2018
211,Divulapitiya,2.2,46000,2024,Hero,Pleasure,2011
214,Polonnaruwa,3.2,21800,2024,Hero,Pleasure,2014
215,Kegalle,3.5,9530,2024,Hero,Pleasure,2015
216,Kurunegala,2.4,19850,2024,Hero,Pleasure,2013
218,Kuliyapitiya,3.0,38000,2024,Hero,Pleasure,2014
220,Matara,3.9,38000,2024,Hero,Pleasure,2018
221,Katunayake,1.88,52411,2024,Hero,Pleasure,2008
222,Kurunegala,4.0,25900,2024,Hero,Pleasure,2018
226,Embilipitiya,2.6,15000,2024,Hero,Pleasure,2013
227,Panadura,2.78,30000,2024,Hero,Pleasure,2014
229,Colombo,3.25,25000,2024,Hero,Pleasure,2015
230,Colombo,1.9,35000,2024,Hero,Pleasure,2010
231,Hanwella,1.8,51529,2024,Hero,Pleasure,2011
232,Mahiyanganaya,3.1,60000,2024,Hero,Pleasure,2014
235,Ambalangoda,2.05,25000,2024,Hero,Pleasure,2012
236,Moneragala,3.77,31116,2024,Hero,Pleasure,2017
237,Colombo,1.9,35000,2024,Hero,Pleasure,2009
238,Kurunegala,2.85,47000,2024,Hero,Pleasure,2012
239,Katunayake,4.2,17200,2024,Hero,Pleasure,2018
240,Gampaha,2.28,123,2024,Hero,Pleasure,2011
241,Kuliyapitiya,1.64,37894,2024,Hero,Pleasure,2011
242,Anuradapura,2.5,59000,2024,Hero,Pleasure,2014
243,Kuliyapitiya,2.88,35000,2024,Hero,Pleasure,2015
244,Minuwangoda,2.0,23999,2024,Hero,Pleasure,2010
245,Kegalle,3.65,31000,2024,Hero,Pleasure,2017
246,Nawalapitiya,3.1,23100,2024,Hero,Pleasure,2015
247,Anuradapura,3.25,36000,2024,Hero,Pleasure,2015
248,Nawalapitiya,3.1,24600,2024,Hero,Pleasure,2015
249,Gampaha,2.13,28900,2024,Hero,Pleasure,2012
251,Kurunegala,3.05,18000,2024,Hero,Pleasure,2015
252,Gampaha,3.55,36500,2024,Hero,Pleasure,2017
253,Matara,2.45,49300,2024,Hero,Pleasure,2013
255,Ratnapura,2.05,48600,2024,Hero,Pleasure,2010
256,Minuwangoda,2.1,38000,2024,Hero,Pleasure,2010
259,Kegalle,2.75,15400,2024,Hero,Pleasure,2015
260,Matara,1.48,45000,2024,Hero,Pleasure,2011
262,Galle,3.29,23000,2024,Hero,Pleasure,2015
266,Matara,2.0,1234,2024,Hero,Pleasure,2010
268,Kurunegala,3.1,27558,2024,Hero,Pleasure,2015
271,Dehiwala-Mount-Lavinia,3.0,57000,2024,Hero,Pleasure,2015
272,Kaduwela,3.55,39800,2024,Hero,Pleasure,2017
273,Piliyandala,2.55,80000,2024,Hero,Pleasure,2015
274,Tangalle,2.75,42886,2024,Hero,Pleasure,2014
275,Kandy,2.6,25000,2023,Hero,Pleasure,2014
276,Padukka,2.88,50000,2023,Hero,Pleasure,2015
277,Boralesgamuwa,3.35,32000,2023,Hero,Pleasure,2015
278,Kuliyapitiya,1.9,28000,2023,Hero,Pleasure,2011
279,Puttalam,2.05,55000,2023,Hero,Pleasure,2010
282,Embilipitiya,3.75,40500,2023,Hero,Pleasure,2018
283,Mawanella,3.1,14360,2023,Hero,Pleasure,2014
285,Minuwangoda,2.13,45000,2023,Hero,Pleasure,2011
287,Kalutara,1.59,26000,2023,Hero,Pleasure,2008
288,Malabe,2.2,35622,2023,Hero,Pleasure,2012
289,Dankotuwa,2.25,61370,2023,Hero,Pleasure,2012
290,Gampola,2.8,37000,2023,Hero,Pleasure,2014
292,Pannala,2.1,10000,2023,Hero,Pleasure,2010
293,Kandy,2.85,23000,2023,Hero,Pleasure,2015
294,Matara,2.6,50000,2023,Hero,Pleasure,2014
297,Panadura,2.5,65000,2023,Hero,Pleasure,2011
299,Kegalle,3.2,39500,2023,Hero,Pleasure,2015
304,Ambalangoda,2.85,23422,2023,Hero,Pleasure,2015
307,Piliyandala,2.1,38000,2023,Hero,Pleasure,2012
309,Gampaha,2.28,8000,2023,Hero,Pleasure,2013
310,Gampaha,2.75,32600,2023,Hero,Pleasure,2015
311,Chilaw,1.4,52000,2023,Hero,Pleasure,2008
312,Matara,1.75,64200,2023,Hero,Pleasure,2011
314,Matugama,2.0,39000,2023,Hero,Pleasure,2012
315,Anuradapura,3.9,30000,2023,Hero,Pleasure,2019
317,Moneragala,2.1,41000,2023,Hero,Pleasure,2011
318,Dompe,2.6,26000,2023,Hero,Pleasure,2014
319,Colombo,1.55,55000,2023,Hero,Pleasure,2009
320,Malabe,3.1,34526,2023,Hero,Pleasure,2015
321,Ragama,1.87,53400,2023,Hero,Pleasure,2010
322,Kurunegala,2.5,45000,2023,Hero,Pleasure,2014
324,Gampaha,2.25,67120,2023,Hero,Pleasure,2013
325,Ragama,1.95,34000,2023,Hero,Pleasure,2012
327,Malabe,3.1,34522,2023,Hero,Pleasure,2016
328,Negombo,2.2,39000,2023,Hero,Pleasure,2012
329,Kuliyapitiya,1.65,45000,2023,Hero,Pleasure,2008
330,Negombo,2.55,60000,2023,Hero,Pleasure,2013
331,Katunayake,2.0,35247,2023,Hero,Pleasure,2011
332,Malabe,3.1,29582,2023,Hero,Pleasure,2015
333,Gampaha,1.98,38000,2023,Hero,Pleasure,2012
335,Kaduwela,2.03,46230,2023,Hero,Pleasure,2012
336,Colombo,1.97,45786,2023,Hero,Pleasure,2011
337,Avissawella,2.75,30000,2023,Hero,Pleasure,2014
338,Dambulla,2.75,48679,2023,Hero,Pleasure,2013
341,Battaramulla,2.6,88000,2023,Hero,Pleasure,2013
343,Kuliyapitiya,1.9,50000,2023,Hero,Pleasure,2012
344,Gampaha,2.28,57000,2023,Hero,Pleasure,2013
347,Kaduwela,2.8,8000,2023,Hero,Pleasure,2015
348,Puttalam,2.55,35000,2023,Hero,Pleasure,2016
350,Kurunegala,1.85,38000,2023,Hero,Pleasure,2010
354,Piliyandala,3.25,31000,2023,Hero,Pleasure,2016
356,Anuradapura,2.0,25000,2023,Hero,Pleasure,2012
357,Ratnapura,2.68,56000,2023,Hero,Pleasure,2014
359,Kiribathgoda,2.7,8000,2023,Hero,Pleasure,2015
362,Colombo,3.2,23000,2023,Hero,Pleasure,2015
363,Wennappuwa,2.05,52000,2023,Hero,Pleasure,2010
364,Kelaniya,3.4,40100,2023,Hero,Pleasure,2017
365,Divulapitiya,2.2,68200,2023,Hero,Pleasure,2012
367,Kuliyapitiya,2.5,45000,2023,Hero,Pleasure,2015
368,Hambantota,2.25,35248,2023,Hero,Pleasure,2012
372,Kuliyapitiya,3.17,27800,2023,Hero,Pleasure,2016
373,Kottawa,2.5,48000,2023,Hero,Pleasure,2014
374,Kaduwela,2.05,43250,2023,Hero,Pleasure,2012
375,Kiribathgoda,3.3,8000,2023,Hero,Pleasure,2016
377,Kuliyapitiya,1.69,49831,2023,Hero,Pleasure,2010
380,Hambantota,2.5,51000,2023,Hero,Pleasure,2014
381,Gampaha,1.9,35000,2023,Hero,Pleasure,2011
383,Kurunegala,2.5,25000,2023,Hero,Pleasure,2014
384,Kurunegala,3.7,20000,2023,Hero,Pleasure,2018
386,Kurunegala,1.7,20000,2023,Hero,Pleasure,2010
388,Gampaha,2.5,40000,2023,Hero,Pleasure,2014
389,Tangalle,4.55,42580,2023,Hero,Pleasure,2018
390,Kadawatha,1.78,58000,2023,Hero,Pleasure,2010
391,Veyangoda,1.85,30000,2023,Hero,Pleasure,2011
392,Kaduwela,2.12,52584,2023,Hero,Pleasure,2012
394,Wennappuwa,2.25,123,2023,Hero,Pleasure,2012
395,Piliyandala,2.18,12999,2023,Hero,Pleasure,2013
396,Kadawatha,2.6,41000,2023,Hero,Pleasure,2016
397,Kottawa,2.6,48000,2023,Hero,Pleasure,2014
398,Kandy,3.4,19000,2023,Hero,Pleasure,2016
399,Kuliyapitiya,1.8,35000,2023,Hero,Pleasure,2011
400,Kiribathgoda,1.65,25000,2023,Hero,Pleasure,2009
401,Minuwangoda,1.6,26358,2023,Hero,Pleasure,2007
402,Malabe,1.85,35000,2023,Hero,Pleasure,2010
403,Anuradapura,2.6,40000,2023,Hero,Pleasure,2014
405,Kuliyapitiya,1.85,35000,2023,Hero,Pleasure,2011
406,Wennappuwa,3.8,15000,2023,Hero,Pleasure,2019
407,Matugama,1.6,15868,2023,Hero,Pleasure,2010
408,Matale,1.85,75000,2023,Hero,Pleasure,2009
409,Nuwara-Eliya,2.6,9000,2023,Hero,Pleasure,2014
410,Piliyandala,3.95,23000,2023,Hero,Pleasure,2019
414,Boralesgamuwa,2.8,32000,2023,Hero,Pleasure,2014
416,Kuliyapitiya,1.85,78523,2023,Hero,Pleasure,2011
417,Kaduwela,2.15,57452,2023,Hero,Pleasure,2012
418,Kuliyapitiya,1.5,50000,2023,Hero,Pleasure,2008
419,Moneragala,1.95,40000,2023,Hero,Pleasure,2010
420,Ratnapura,2.9,50000,2023,Hero,Pleasure,2015
421,Negombo,1.98,55000,2023,Hero,Pleasure,2011
423,Gampaha,1.78,40000,2023,Hero,Pleasure,2011
424,Piliyandala,3.2,32000,2023,Hero,Pleasure,2015
427,Puttalam,4.1,19380,2023,Hero,Pleasure,2019
429,Nittambuwa,2.7,47363,2023,Hero,Pleasure,2014
430,Galle,1.85,45000,2023,Hero,Pleasure,2012
431,Gampaha,1.75,1234,2023,Hero,Pleasure,2010
433,Kaduwela,2.35,64500,2023,Hero,Pleasure,2012
434,Mahiyanganaya,2.6,35000,2023,Hero,Pleasure,2014
437,Galle,2.1,34672,2023,Hero,Pleasure,2011
438,Galle,2.7,1234,2023,Hero,Pleasure,2014
439,Kadawatha,2.42,23000,2023,Hero,Pleasure,2013
440,Kalutara,1.78,40000,2023,Hero,Pleasure,2010
443,Kegalle,2.98,39702,2023,Hero,Pleasure,2014
445,Gampaha,1.65,36000,2023,Hero,Pleasure,2009
446,Embilipitiya,2.3,48000,2023,Hero,Pleasure,2013
447,Kurunegala,3.45,21500,2023,Hero,Pleasure,2017
450,Veyangoda,2.65,36,2023,Hero,Pleasure,2016
451,Colombo,3.2,25000,2023,Hero,Pleasure,2015
453,Galle,2.5,28000,2023,Hero,Pleasure,2015
454,Horana,3.18,32000,2023,Hero,Pleasure,2015
458,Galle,3.65,48000,2023,Hero,Pleasure,2015
459,Anuradapura,2.85,28563,2023,Hero,Pleasure,2014
460,Colombo,3.2,25000,2023,Hero,Pleasure,2015
462,Piliyandala,2.95,35000,2023,Hero,Pleasure,2014
463,Gampola,2.85,18000,2023,Hero,Pleasure,2014
466,Negombo,1.85,29900,2023,Hero,Pleasure,2010
467,Moneragala,3.1,33700,2023,Hero,Pleasure,2016
469,Kegalle,2.8,20000,2023,Hero,Pleasure,2016
470,Negombo,2.15,22,2023,Hero,Pleasure,2011
473,Kuliyapitiya,1.85,21000,2023,Hero,Pleasure,2011
474,Ragama,1.25,38000,2023,Hero,Pleasure,2009
475,Dompe,1.93,60000,2023,Hero,Pleasure,2010
476,Horana,2.85,32000,2023,Hero,Pleasure,2015
478,Negombo,1.95,32000,2023,Hero,Pleasure,2011
479,Matara,2.28,52000,2023,Hero,Pleasure,2012
480,Hambantota,2.25,70000,2023,Hero,Pleasure,2012
481,Nittambuwa,2.3,20000,2023,Hero,Pleasure,2012
482,Galle,2.05,66000,2023,Hero,Pleasure,2012
484,Kalmunai,2.15,55752,2023,Hero,Pleasure,2012
485,Divulapitiya,2.63,34000,2023,Hero,Pleasure,2015
488,Galle,1.68,28000,2023,Hero,Pleasure,2011
489,Gampaha,2.65,36200,2023,Hero,Pleasure,2015
491,Horana,1.65,45000,2023,Hero,Pleasure,2011
492,Hambantota,2.2,38500,2023,Hero,Pleasure,2012
494,Galle,1.72,32500,2023,Hero,Pleasure,2011
495,Panadura,1.6,11111,2023,Hero,Pleasure,2009
496,Tangalle,3.35,29000,2023,Hero,Pleasure,2017
498,Kurunegala,1.95,28000,2023,Hero,Pleasure,2012
501,Kurunegala,2.95,51450,2023,Hero,Pleasure,2016
502,Anuradapura,2.65,15000,2023,Hero,Pleasure,2014
504,Bandaragama,2.6,24000,2023,Hero,Pleasure,2014
505,Kurunegala,3.3,41075,2023,Hero,Pleasure,2015
507,Galle,1.78,35500,2023,Hero,Pleasure,2012
508,Gampaha,3.95,18000,2023,Hero,Pleasure,2019
509,Hanwella,1.9,16800,2023,Hero,Pleasure,2012
513,Matale,2.6,22000,2023,Hero,Pleasure,2015
514,Divulapitiya,2.65,34000,2023,Hero,Pleasure,2015
518,Ambalangoda,2.75,4200,2023,Hero,Pleasure,2015
520,Gampola,2.5,30000,2023,Hero,Pleasure,2014
523,Moratuwa,2.15,41757,2023,Hero,Pleasure,2012
526,Matara,2.7,42000,2023,Hero,Pleasure,2015
527,Kuliyapitiya,1.77,48537,2023,Hero,Pleasure,2011
528,Embilipitiya,3.85,38000,2023,Hero,Pleasure,2018
529,Mawanella,3.2,24000,2023,Hero,Pleasure,2017
530,Matara,2.35,50000,2023,Hero,Pleasure,2012
534,Moneragala,3.0,53378,2023,Hero,Pleasure,2015
536,Gampaha,3.3,10800,2023,Hero,Pleasure,2017
538,Kurunegala,1.88,34000,2023,Hero,Pleasure,2011
539,Gampaha,2.75,42000,2023,Hero,Pleasure,2015
540,Gampaha,1.98,45000,2023,Hero,Pleasure,2011
541,Minuwangoda,2.1,40000,2023,Hero,Pleasure,2011
542,Piliyandala,3.3,32000,2023,Hero,Pleasure,2017
543,Kurunegala,1.9,65000,2023,Hero,Pleasure,2012
544,Gampaha,3.28,25000,2023,Hero,Pleasure,2017
548,Divulapitiya,2.75,36000,2023,Hero,Pleasure,2016
549,Chilaw,1.78,14362,2023,Hero,Pleasure,2010
552,Colombo,3.1,45000,2023,Hero,Pleasure,2017
553,Divulapitiya,1.72,1234,2023,Hero,Pleasure,2011
554,Kurunegala,2.4,1358,2023,Hero,Pleasure,2012
555,Matara,1.55,64300,2023,Hero,Pleasure,2011
556,Chilaw,1.9,61340,2023,Hero,Pleasure,2010
557,Dambulla,2.78,23000,2023,Hero,Pleasure,2016
558,Piliyandala,3.25,29000,2023,Hero,Pleasure,2015
